	zh_tw	zh	en
i18n_ServCloud_Manage_Repair_Close	客訴單結案	客诉单结案	Repair Close
i18n_ServCloud_Attribute_ID	屬性代碼	属性代码	Attribute ID
i18n_ServCloud_Attribute_Name	屬性名稱	属性名称	Attirbute Name
i18n_ServCloud_Uni_No	統一編號	统一编号	Uni No
i18n_ServCloud_Machine_Type_ID	機種	机种	Machine Type 
i18n_ServCloud_detail	詳細訊息	详细讯息	Detail
i18n_ServCloud_12_Manage_Repair_Assign	客訴單派工	客诉单派工	Repair Assign
i18n_ServCloud_Manage_Repair_Repay	客訴單回報	客诉单回报	Repair Repay
i18n_ServCloud_Manage_Repair_reault	查詢結果	查询结果	Query Result
i18n_ServCloud_Manage_Entity_List	問題細項	问题细项	Entity Breakdown
i18n_ServCloud_17_Repair_Report	17 客訴單統計	17 客诉单统计	17 Repair Report
