	zh_tw	zh	en
i18n_ServCloud_Must_Choose	必須選擇一個類別	必须选择一个类别	You must select an option.
i18n_ServCloud_Line_Machine_Form	產線機台對應表	产线机台对应表	Line-machine csv
i18n_ServCloud_Drop_File	將檔案拖曳至此	将档案拖曳至此	Drop the upload file to here
i18n_ServCloud_Manage_Cnc_Brand	CNC廠牌管理	CNC厂牌管理	CNC Brand Management
i18n_ServCloud_Cnc_Brand	CNC廠牌	CNC厂牌	CNC brand
i18n_ServCloud_Monitor_Page_Bind	監控頁面綁定	监控页面绑定	Monitor page bind
i18n_ServCloud_Machine_Editor	設備類型管理	设备类型管理	Machine Editor Management
i18n_ServCloud_Manage_Header	資料欄位管理	资料栏位管理	Data Header Management
i18n_ServCloud_Manage_param	屬性	属性	Parameters
i18n_ServCloud_Manage_Shift_Group	班次群組	班次群组	Shift Group
i18n_ServCloud_Manage_Shift_Desc	班次描述	班次描述	Shift Description
i18n_ServCloud_Manage_Type	類型	类型	Type
i18n_ServCloud_Manage_Shift	班次	班次	Shift
i18n_ServCloud_Manage_Date_Week	日期/星期	日期/星期	Date / Week
i18n_ServCloud_Manage_Shift_Management	班次管理	班次管理	Shift Management
i18n_ServCloud_Manage_Shift_Group_Name	班次群組名稱	班次群组名称	Shift Group Name
i18n_ServCloud_Manage_Shift_Sequence	班次順序	班次顺序	Shift Sequence
i18n_ServCloud_Manage_Shift_Name	班次名稱	班次名称	Shift Name
i18n_ServCloud_Manage_Cancel	取消	取消	Cancel
i18n_ServCloud_Manage_Finish	完成	完成	Finish
i18n_ServCloud_Manage_Is_Real_Data	真實資料	真实资料	Real data
i18n_ServCloud_Manage_Demo_Status	測試狀態	测试状态	Demo status
i18n_ServCloud_Stk_Date_Duplicate	日期重覆	日期重覆	date exits!
i18n_ServCloud_Manage_Ip_Cam	Ip Camera 管理	Ip Camera 管理	Ip Camera Management
i18n_ServCloud_Show_in_Monitor	顯示於監控頁面	显示于监控页面	Show in Monitor Page
i18n_ServCloud_Sequence	Ip Camera 排列順序	Ip Camera 排列顺序	Ip Camera Squence
i18n_ServCloud_Machine_Type	機種	机种	Machine Type
i18n_ServCloud_Manage_Alarm	管理警報代碼	管理警报代码	Manage Alarm
i18n_ServCloud_Alarm_Code	警報代碼	警报代码	Alarm Code
i18n_ServCloud_Alarm_Name	警報名稱	警报名称	Alarm Name
i18n_ServCloud_Alarm_Description	警報說明	警报说明	Alarm description
i18n_ServCloud_Alarm_Clear	故障排除	故障排除	Alarm Clear
i18n_ServCloud_Exception_Msg	例外錯誤，請聯絡系統管理員	例外错误，请联络系统管理员	Exception, call system manager, please.
i18n_ServCloud_ID_Already_Exists	此ID已存在	此ID已存在	ID already exists
i18n_ServCloud_Delete_FK_Error_Msg	有其他table引用到此筆資料，所以無法進行刪除的動作	有其他table引用到此笔资料，所以无法进行删除的动作	There are other table references to this record  information, so the operation can not be deleted
i18n_ServCloud_Ip_Cam_Title	Ip Camera標題	Ip Camera标题	Ip Camera Title
i18n_ServCloud_No_Bundle	不綁定	不绑定	No Machine binded
i18n_ServCloud_Alarm_Info_Msg	警報代碼十進位和十六進位只需選一種填寫，未填寫的另一欄在新增時會自動轉換。	警报代码十进位和十六进位只需选一种填写，未填写的另一栏在新增时会自动转换。	Alarm Codes decimal and hexadecimal just choose one to fill in the other fields are not filled in the new time will be automatically converted.
i18n_ServCloud_Alarm_10	警報代碼(十進位)	警报代码(十进位)	Alarm Code (decimal)
i18n_ServCloud_Alarm_16	警報代碼(十六進位)	警报代码(十六进位)	Alarm Code (HEX)
i18n_ServCloud_Manage_Alarm_Anko	管理警報代碼 (PLC)	管理警报代码 (PLC)	Manage Alarm (PLC)
i18n_ServCloud_10_And_16_Only_One_Selected	十進位和十六進位只能選一欄填	十进位和十六进位只能选一栏填	Decimal and hexadecimal can only choose a column filled
i18n_ServCloud_10_And_16_Is_Null	十進位和十六進位都為空	十进位和十六进位都为空	Decimal and hexadecimal is empty
i18n_ServCloud_Manage_Machine_Group	管理機台群組	管理机台群组	Manage Machine Group
i18n_ServCloud_Store	儲存	储存	Store
