	zh_tw	zh	en
i18n_ServCloud_Modify_Delivery	修改交期	修改交期	Modify delivery
i18n_ServCloud_Modify_Pre_Delivery_Date_To	修改預交日為	修改预交日为	Modify the pre-delivery date to
i18n_ServCloud_Cancel	取消	取消	Cancel
i18n_ServCloud_Confirm	確認	确认	Confirm
i18n_ServCloud_Transfer_Time	異動時間	转移时间	Transfer time
i18n_ServCloud_Before_Modify_Pre_Delivery_Date	異動前預交日	异动前预交日	Before Modify Pre-delivery date
i18n_ServCloud_After_Modify_Pre_Delivery_Date	異動後預交日	异动后预交日	After Modify Pre-delivery date
i18n_ServCloud_Change_By	異動人	异动人	Change by
i18n_ServCloud_Confirm_Delivery_Time	確認交期時間	确认交期时间	Confirm delivery time
i18n_ServCloud_Confirm_Delivery_By	確認交期人	确认交期人	Confirm delivery by
i18n_ServCloud_Material_Information	料件資訊	料件资讯	Material information
i18n_ServCloud_Specification	規格	规格	Specification
i18n_ServCloud_Purchase_Quantity	採購數量	采购数量	Purchase quantity
i18n_ServCloud_Unit	單位	单位	Unit
i18n_ServCloud_Processing_Problem	加工問題	加工问题	Processing problem
i18n_ServCloud_Processing_Problem_Number	加工問題編號	加工问题编号	Processing problem number
i18n_ServCloud_Status	狀態	状态	Status
i18n_ServCloud_Associated_Demand_Order_Number	關聯需求單號	关联需求单号	Associated demand order number
i18n_ServCloud_Assigned_To	指派給	指派给	Assigned to
i18n_ServCloud_Download_Record	下載紀錄	下载纪录	Download record
i18n_ServCloud_File_Name	檔案名稱	档案名称	File name
i18n_ServCloud_Download_Time	下載時間	下载时间	Download time
i18n_ServCloud_Download_By	下載人	下载人	Download by
i18n_ServCloud_File_Attachment	檔案附件	档案附件	File attachment
i18n_ServCloud_Quote_Attachment	報價附件	报价附件	Quote attachment
i18n_ServCloud_Attached_Name	附檔名稱	附档名称	Attached name
i18n_ServCloud_File_Path	檔案路徑	档案路径	File path
i18n_ServCloud_Upload_Time	上傳時間	上传时间	Upload time
i18n_ServCloud_Upload_By	上傳人	上传人	Upload by
i18n_ServCloud_Supplier_Information	供應商資訊	供应商资讯	Supplier information
i18n_ServCloud_Company_Name	公司名稱	公司名称	Company name
i18n_ServCloud_Principal	負責人	负责人	Principal
i18n_ServCloud_Contact_Person	聯絡人	联络人	Contact person
i18n_ServCloud_One	一	一	One
i18n_ServCloud_Two	二	二	Two
i18n_ServCloud_Contact_Address	聯絡地址	联络地址	Contact Address
i18n_ServCloud_Same_Date_Error_Info	您輸入的日期與原預交日相同，請重新輸入	您输入的日期与原预交日相同，请重新输入	The date you entered is the same as the original pre-delivery date, please re-enter
i18n_ServCloud_New_Problem	新問題	新问题	New problem
i18n_ServCloud_Processing	進行中	进行中	Processing
i18n_ServCloud_Cancelled	已取消	已取消	Cancelled
i18n_ServCloud_Closed	已關閉	已关闭	Closed
i18n_ServCloud_Cancel_Problem	取消問題	取消问题	Cancel Problem
i18n_ServCloud_Close_Problem	關閉問題	关闭问题	Close Problem
i18n_ServCloud_Back_To_Demand_List	回到需求單	回到需求单	Back to demand list
i18n_ServCloud_Problem_Initiation_Time	問題發起時間	问题发起时间	Problem initiation time
i18n_ServCloud_Problem_Initiation_By	問題發起人	问题发起人	Problem initiation by
i18n_ServCloud_Currently_Assigned_To	目前指派給	目前指派给	Currently Assigned to
i18n_ServCloud_Last_Assigned_Group	上一站被指派群組	上一站被指派群组	The last station was assigned a group
i18n_ServCloud_Change_Status_To	變更狀態為	变更状态为	Change status to
i18n_ServCloud_Problem_Response_Record	問題回覆紀錄	问题回覆纪录	Problem response record
i18n_ServCloud_Record_Time	回覆時間	回覆时间	Record time
i18n_ServCloud_Record_By	回覆人	回覆人	Record by
i18n_ServCloud_Record_Content	回覆內容	回覆内容	Record content
i18n_ServCloud_Create_Question_Reply	新增問題回覆	新增问题回覆	Create question reply
i18n_ServCloud_Confidential	機密問題	机密问题	Confidential
i18n_ServCloud_Create_Reply	新增回覆	新增回覆	Create reply
i18n_ServCloud_Problem_Processing_Record	問題處理紀錄	问题处理纪录	Problem processing record
i18n_ServCloud_Record_Date	紀錄日期	纪录日期	Record date
i18n_ServCloud_User_Name	使用者名稱	使用者名称	User name
i18n_ServCloud_Action	動作	动作	Action
i18n_ServCloud_Change_Status	變更狀態	变更状态	Change status
i18n_ServCloud_Portion_To	分配給	分配给	Portion to
i18n_ServCloud_Add_File	新增檔案	新增档案	Add file
