	zh_tw	zh	en
i18n_ServCloud_Status	狀態	状态	Status
i18n_ServCloud_On_Duty	上班	上班	on duty
i18n_ServCloud_Off_Duty	下班	下班	off duty
i18n_ServCloud_Date	日期	日期	Date
i18n_ServCloud_Time	時間	时间	Time
i18n_ServCloud_Dauration	累積時間	累积时间	Duration
i18n_ServCloud_Shift	班次	班次	Shift
i18n_ServCloud_Edit_By	修改者	修改者	Edit By
i18n_ServCloud_Edit_Time	修改時間	修改时间	Edit Time
i18n_ServCloud_Now_Time	目前時間	目前时间	Time
i18n_ServCloud_On_Off_Hint	請選擇上下班時間	请选择上下班时间	Please choose work status.
i18n_ServCloud_Change_Macro_Hint	請變換狀態	请变换状态	Please change macro.
i18n_ServCloud_Work_Macro_Query	上下班macro紀錄查詢	上下班macro纪录查询	Work Macro Query
i18n_ServCloud_All_On	全部上班	全部上班	All On Duty
i18n_ServCloud_All_Off	全部下班	全部下班	All Off Duty
i18n_ServCloud_Close	關閉	关闭	Close
i18n_ServCloud_Idle_Macro_Hint	*僅可查詢2017年3月17日之前的舊資料	*仅可查询2017年3月17日之前的旧资料	*Can only query old data before 2017/03/17.
i18n_ServCloud_Macro_Tooltip	M2: 包含M2運轉時間及M2閒置時間<br>M4: 包含所有警報時間、M4運轉時間及M4閒置時間<br>M10: 包含M10運轉時間及M10閒置時間	M2: 包含M2运转时间及M2闲置时间<br>M4: 包含所有警报时间、M4运转时间及M4闲置时间<br>M10: 包含M10运转时间及M10闲置时间	M2: Including M2 operation time and M2 idle time.<br>M4: Including alarm time, M4 operation time and M4 idle time.<br>M10: Including M10 operation time and M10 idle time.
i18n_ServCloud_Off_Time	離線時間	离线时间	Off Time
i18n_ServCloud_12_DowntimeAnalysis_MacroIdle_Cosmos	12 閒置代碼時間分析	12 闲置代码时间分析	12 Macro Downtime Analysis
i18n_ServCloud_11_DowntimeAnalysis_MachineIdle_Cosmos	11 閒置時間分析	11 闲置时间分析	11 Downtime Analysis
i18n_ServCloud_Macro	代碼	代码	Macro
i18n_ServCloud_Time_Minutes	時間(分鐘)	时间(分钟)	Time(minutes)
i18n_ServCloud_Work_Achievement_Rate_peter	時間(分鐘)	时间(分钟)	Time(minutes)
i18n_ServCloud_Idle_Code	閒置代碼	闲置代码	Downtime Code
i18n_ServCloud_Idle_Code_Name	閒置代碼名稱	闲置代码名称	Downtime Name
i18n_ServCloud_Stk_Required	此欄位必填	此栏位必填	Required
i18n_ServCloud_Stk_Pk	欄位名稱，不得重複	栏位名称，不得重复	Duplicate value is not allowed
i18n_ServCloud_M4_Alarm	警報將合併到M4中。	警报将合并到M4中。	Alarm will be merged into M4.
i18n_ServCloud_Macro_Insert	無效代碼輸入	无效代码输入	Downtime Code Insert
i18n_ServCloud_Macro_Query	無效代碼記錄查詢	无效代码记录查询	Downtime Code Query
i18n_ServCloud_Plant_Area	廠區	厂区	Plant Area
i18n_ServCloud_Creator	建立者	建立者	Creator
i18n_ServCloud_Operator_Id	操作員	操作员	Operator Id
i18n_ServCloud_Idle_For_Administrative_Reasons	閒置原因管理	闲置原因管理	Idle for administrative reasons
i18n_ServCloud_Color_Code	代碼顏色	代码颜色	Color Code
i18n_ServCloud_Enable	啟用	启用	Enable
i18n_ServCloud_Idle_Code_Status	閒置代碼狀態	闲置代码状态	Idle code status
i18n_ServCloud_Idle_Records_Compilation	閒置紀錄編輯	闲置纪录编辑	Idle Records compilation
i18n_ServCloud_Has_Been_Out_Of_Range_Please_Adjust_The_Query	已超出範圍，請先調整查詢條件	已超出范围，请先调整查询条件	Out of range, please adjust the query condition.
i18n_ServCloud_Query_Result	搜尋結果	搜寻结果	Query Result
i18n_ServCloud_Modify	修改	修改	modify
i18n_ServCloud_Invalid_Code	無效代碼	无效代码	Invalid Code
i18n_ServCloud_Store	儲存	储存	Store
i18n_ServCloud_Idle_Records_Compilation	閒置紀錄編輯	闲置纪录编辑	Idle Records compilation
i18n_ServCloud_Has_Been_Out_Of_Range_Please_Adjust_The_Query	已超出範圍，請先調整查詢條件	已超出范围，请先调整查询条件	Out of range, please adjust the query condition.
i18n_ServCloud_Overview	總覽	总览	Overview
i18n_ServCloud_Average_Effective_Utilization_Rate	平均有效稼動率	平均有效稼动率	Average effective utilization rate
i18n_ServCloud_Total_Output	總產量	总产量	Total output
i18n_ServCloud_Denominator	分母	分母	Denominator
i18n_ServCloud_Idle_Time_Setting	閒置時間設定	闲置时间设定	Idle time setting
i18n_ServCloud_Idle_Time	閒置時間	闲置时间	Idle Time
i18n_ServCloud_Group_Name	群組名稱	群组名称	Group Name
i18n_ServCloud_Reorganize	重新整理	重新整理	reorganize
i18n_ServCloud_New_Group	新增群組	新增群组	New Group
i18n_ServCloud_Cancel	取消	取消	cancel
i18n_ServCloud_Delete	刪除	删除	delete
i18n_ServCloud_Remark	備註	备注	Remark
i18n_ServCloud_Starting_Time	開始時間	开始时间	Starting time
i18n_ServCloud_End_Time	結束時間	结束时间	End Time
i18n_ServCloud_Set_At_Least_One_Set_Of_Idle_Time	請至少設定一組閒置時間	请至少设定一组闲置时间	Set at least one set of idle time
i18n_ServCloud_Set_At_Least_One_Group	請至少設定一個群組	请至少设定一个群组	Set at least one group
i18n_ServCloud_The_Machine_Can_Not_Be_Null	機台不能為空	机台不能为空	The machine can not be null
i18n_ServCloud_Intergroup_Machine_Can_Not_Be_Repeated	群組間機台不能重複	群组间机台不能重复	Intergroup machine can not be repeated
i18n_ServCloud_Idle_Interval_Is_Not_Set_Complete	閒置區間未設定完整	闲置区间未设定完整	Idle interval is not set complete
i18n_ServCloud_Wrong_Time	時間範圍有誤	时间范围有误	Wrong time
i18n_ServCloud_Time_Format_Error	時間格式錯誤	时间格式错误	Time format error
i18n_ServCloud_Form_Information_Is_Wrong	表格資訊有誤	表格资讯有误	Form information is wrong
i18n_ServCloud_Error	錯誤	错误	error
i18n_ServCloud_The_Same_Record_At_The_Same_Time_Machine_Already_Exists	已存在同一機台同一時間的紀錄	已存在同一机台同一时间的纪录	The same record at the same time machine already exists
