時間,機台編號,狀態,產量,OK/NG
13:17,M1,13,0,0
13:18,M1,12,0,0
13:19,M1,11,0,0
13:20,M1,11,0,0
13:21,M1,11,0,0
13:22,M1,11,0,0
13:23,M1,11,1,OK
13:24,M1,11,0,0
13:25,M1,12,0,0
13:26,M1,11,0,0
13:27,M1,11,0,0
13:28,M1,11,0,0
13:29,M1,12,0,0
13:30,M1,12,0,0
13:31,M1,13,0,0
13:32,M1,11,1,OK
13:33,M1,11,0,0
13:34,M1,11,0,0
13:35,M1,11,0,0
13:36,M1,11,0,0
13:37,M1,12,0,0
13:38,M1,12,0,0
13:39,M1,11,0,0
13:40,M1,12,0,0
13:41,M1,11,1,OK
13:42,M1,11,0,0
13:43,M1,11,0,0
13:44,M1,13,0,0
13:45,M1,11,0,0
13:46,M1,13,0,0
13:47,M1,12,0,0
13:48,M1,12,0,0
13:49,M1,11,0,0
13:50,M1,12,1,OK
13:51,M1,11,0,0
13:52,M1,13,0,0
13:53,M1,11,0,0
13:54,M1,12,0,0
13:55,M1,13,0,0
13:56,M1,11,0,0
13:57,M1,11,0,0
13:58,M1,11,0,0
13:59,M1,13,1,OK
14:00,M1,11,0,0
14:01,M1,11,0,0
14:02,M1,12,0,0
14:03,M1,11,0,0
14:04,M1,11,0,0
14:05,M1,13,0,0
14:06,M1,11,0,0
14:07,M1,11,0,0
14:08,M1,11,1,OK
14:09,M1,11,0,0
14:10,M1,13,0,0
14:11,M1,12,0,0
14:12,M1,12,0,0
14:13,M1,12,0,0
14:14,M1,11,0,0
14:15,M1,11,0,0
14:16,M1,11,0,0
14:17,M1,12,1,NG
14:18,M1,12,0,0
14:19,M1,12,0,0
14:20,M1,12,0,0
14:21,M1,11,0,0
14:22,M1,11,0,0
14:23,M1,11,0,0
14:24,M1,11,0,0
14:25,M1,11,0,0
14:26,M1,11,1,NG
14:27,M1,11,0,0
14:28,M1,11,0,0
14:29,M1,11,0,0
14:30,M1,12,0,0
14:31,M1,11,0,0
14:32,M1,11,0,0
14:33,M1,12,0,0
14:34,M1,11,0,0
14:35,M1,13,1,OK
14:36,M1,11,0,0
14:37,M1,11,0,0
14:38,M1,13,0,0
14:39,M1,11,0,0
14:40,M1,12,0,0
14:41,M1,12,0,0
14:42,M1,12,0,0
14:43,M1,11,0,0
14:44,M1,11,1,OK
14:45,M1,11,0,0
14:46,M1,11,0,0
14:47,M1,11,0,0
14:48,M1,11,0,0
14:49,M1,12,0,0
14:50,M1,11,0,0
14:51,M1,11,0,0
14:52,M1,11,0,0
14:53,M1,11,1,OK
14:54,M1,11,0,0
14:55,M1,11,0,0
14:56,M1,11,0,0
14:57,M1,11,0,0
14:58,M1,12,0,0
14:59,M1,12,0,0
15:00,M1,11,0,0
15:01,M1,12,0,0
15:02,M1,11,1,OK
15:03,M1,11,0,0
15:04,M1,11,0,0
15:05,M1,11,0,0
15:06,M1,13,0,0
15:07,M1,13,0,0
15:08,M1,11,0,0
15:09,M1,11,0,0
15:10,M1,11,0,0
15:11,M1,11,1,OK
15:12,M1,11,0,0
15:13,M1,11,0,0
15:14,M1,12,0,0
15:15,M1,11,0,0
15:16,M1,11,0,0
15:17,M1,12,0,0
15:18,M1,13,0,0
15:19,M1,11,0,0
15:20,M1,11,1,OK
15:21,M1,11,0,0
15:22,M1,12,0,0
15:23,M1,11,0,0
15:24,M1,11,0,0
15:25,M1,11,0,0
15:26,M1,11,0,0
15:27,M1,11,0,0
15:28,M1,11,0,0
15:29,M1,11,1,OK
15:30,M1,13,0,0
15:31,M1,12,0,0
15:32,M1,12,0,0
15:33,M1,11,0,0
15:34,M1,11,0,0
15:35,M1,11,0,0
15:36,M1,11,0,0
15:37,M1,12,0,0
15:38,M1,12,1,OK
15:39,M1,11,0,0
15:40,M1,11,0,0
15:41,M1,12,0,0
15:42,M1,11,0,0
15:43,M1,11,0,0
15:44,M1,11,0,0
15:45,M1,11,0,0
15:46,M1,11,0,0
15:47,M1,13,1,OK
15:48,M1,11,0,0
15:49,M1,11,0,0
15:50,M1,12,0,0
15:51,M1,11,0,0
15:52,M1,11,0,0
15:53,M1,11,0,0
15:54,M1,12,0,0
15:55,M1,11,0,0
15:56,M1,11,1,OK
15:57,M1,11,0,0
15:58,M1,11,0,0
15:59,M1,11,0,0
16:00,M1,11,0,0
16:01,M1,13,0,0
16:02,M1,11,0,0
16:03,M1,12,0,0
16:04,M1,11,0,0
16:05,M1,12,1,OK
16:06,M1,11,0,0
16:07,M1,11,0,0
16:08,M1,11,0,0
16:09,M1,13,0,0
16:10,M1,12,0,0
16:11,M1,12,0,0
16:12,M1,11,0,0
16:13,M1,11,0,0
16:14,M1,13,1,OK
16:15,M1,11,0,0
16:16,M1,11,0,0
16:17,M1,12,0,0
16:18,M1,12,0,0
16:19,M1,11,0,0
16:20,M1,11,0,0
16:21,M1,11,0,0
16:22,M1,12,0,0
16:23,M1,11,1,OK
16:24,M1,13,0,0
16:25,M1,12,0,0
16:26,M1,12,0,0
16:27,M1,11,0,0
16:28,M1,11,0,0
16:29,M1,11,0,0
16:30,M1,11,0,0
16:31,M1,11,0,0
16:32,M1,13,1,OK
16:33,M1,12,0,0
16:34,M1,13,0,0
16:35,M1,11,0,0
16:36,M1,11,0,0
16:37,M1,11,0,0
16:38,M1,11,0,0
16:39,M1,11,0,0
16:40,M1,11,0,0
16:41,M1,11,1,OK
16:42,M1,11,0,0
16:43,M1,11,0,0
16:44,M1,12,0,0
16:45,M1,11,0,0
16:46,M1,12,0,0
16:47,M1,11,0,0
16:48,M1,11,0,0
16:49,M1,11,0,0
16:50,M1,13,1,OK
16:51,M1,12,0,0
16:52,M1,11,0,0
16:53,M1,11,0,0
16:54,M1,11,0,0
16:55,M1,11,0,0
16:56,M1,13,0,0
16:57,M1,11,0,0
16:58,M1,12,0,0
16:59,M1,11,1,OK
17:00,M1,13,0,0
17:01,M1,12,0,0
17:02,M1,11,0,0
17:03,M1,11,0,0
17:04,M1,12,0,0
17:05,M1,11,0,0
17:06,M1,11,0,0
17:07,M1,11,0,0
17:08,M1,11,1,OK
17:09,M1,11,0,0
17:10,M1,11,0,0
17:11,M1,11,0,0
17:12,M1,11,0,0
17:13,M1,11,0,0
17:14,M1,11,0,0
17:15,M1,11,0,0
17:16,M1,13,0,0
17:17,M1,12,1,OK
17:18,M1,12,0,0
17:19,M1,11,0,0
17:20,M1,11,0,0
17:21,M1,11,0,0
17:22,M1,13,0,0
17:23,M1,11,0,0
17:24,M1,11,0,0
17:25,M1,11,0,0
17:26,M1,11,1,OK
17:27,M1,11,0,0
17:28,M1,13,0,0
17:29,M1,11,0,0
17:30,M1,13,0,0
17:31,M1,11,0,0
17:32,M1,11,0,0
17:33,M1,12,0,0
17:34,M1,12,0,0
17:35,M1,12,1,OK
17:36,M1,11,0,0
17:37,M1,12,0,0
17:38,M1,11,0,0
17:39,M1,12,0,0
17:40,M1,11,0,0
17:41,M1,13,0,0
17:42,M1,11,0,0
17:43,M1,11,0,0
17:44,M1,12,1,OK
17:45,M1,11,0,0
17:46,M1,11,0,0
17:47,M1,11,0,0
17:48,M1,13,0,0
17:49,M1,11,0,0
17:50,M1,11,0,0
17:51,M1,11,0,0
17:52,M1,11,0,0
17:53,M1,12,1,OK
17:54,M1,11,0,0
17:55,M1,11,0,0
17:56,M1,11,0,0
17:57,M1,11,0,0
17:58,M1,11,0,0
17:59,M1,11,0,0
18:00,M1,11,0,0
08:00,M2,11,0,0
08:01,M2,11,0,0
08:02,M2,12,0,0
08:03,M2,11,0,0
08:04,M2,11,0,0
08:05,M2,13,0,0
08:06,M2,11,0,0
08:07,M2,13,0,0
08:08,M2,11,0,0
08:09,M2,11,0,0
08:10,M2,11,1,OK
08:11,M2,12,0,0
08:12,M2,12,0,0
08:13,M2,12,0,0
08:14,M2,11,0,0
08:15,M2,11,0,0
08:16,M2,11,0,0
08:17,M2,13,0,0
08:18,M2,13,0,0
08:19,M2,12,0,0
08:20,M2,12,0,0
08:21,M2,11,1,NG
08:22,M2,11,0,0
08:23,M2,11,0,0
08:24,M2,12,0,0
08:25,M2,11,0,0
08:26,M2,13,0,0
08:27,M2,11,0,0
08:28,M2,11,0,0
08:29,M2,11,0,0
08:30,M2,11,0,0
08:31,M2,13,0,0
08:32,M2,11,1,OK
08:33,M2,11,0,0
08:34,M2,13,0,0
08:35,M2,11,0,0
08:36,M2,11,0,0
08:37,M2,12,0,0
08:38,M2,11,0,0
08:39,M2,12,0,0
08:40,M2,12,0,0
08:41,M2,11,0,0
08:42,M2,11,0,0
08:43,M2,11,1,OK
08:44,M2,13,0,0
08:45,M2,13,0,0
08:46,M2,11,0,0
08:47,M2,12,0,0
08:48,M2,12,0,0
08:49,M2,11,0,0
08:50,M2,12,0,0
08:51,M2,11,0,0
08:52,M2,12,0,0
08:53,M2,11,0,0
08:54,M2,12,1,OK
08:55,M2,12,0,0
08:56,M2,11,0,0
08:57,M2,11,0,0
08:58,M2,12,0,0
08:59,M2,12,0,0
09:00,M2,11,0,0
09:01,M2,12,0,0
09:02,M2,11,0,0
09:03,M2,12,0,0
09:04,M2,12,0,0
09:05,M2,12,1,OK
09:06,M2,11,0,0
09:07,M2,11,0,0
09:08,M2,12,0,0
09:09,M2,11,0,0
09:10,M2,12,0,0
09:11,M2,11,0,0
09:12,M2,11,0,0
09:13,M2,12,0,0
09:14,M2,11,0,0
09:15,M2,12,0,0
09:16,M2,11,1,OK
09:17,M2,12,0,0
09:18,M2,12,0,0
09:19,M2,11,0,0
09:20,M2,13,0,0
09:21,M2,13,0,0
09:22,M2,13,0,0
09:23,M2,12,0,0
09:24,M2,13,0,0
09:25,M2,11,0,0
09:26,M2,11,0,0
09:27,M2,11,1,OK
09:28,M2,11,0,0
09:29,M2,13,0,0
09:30,M2,13,0,0
09:31,M2,11,0,0
09:32,M2,11,0,0
09:33,M2,12,0,0
09:34,M2,11,0,0
09:35,M2,13,0,0
09:36,M2,11,0,0
09:37,M2,12,0,0
09:38,M2,11,1,OK
09:39,M2,13,0,0
09:40,M2,11,0,0
09:41,M2,11,0,0
09:42,M2,11,0,0
09:43,M2,11,0,0
09:44,M2,11,0,0
09:45,M2,11,0,0
09:46,M2,11,0,0
09:47,M2,11,0,0
09:48,M2,11,0,0
09:49,M2,11,1,NG
09:50,M2,12,0,0
09:51,M2,12,0,0
09:52,M2,12,0,0
09:53,M2,11,0,0
09:54,M2,11,0,0
09:55,M2,12,0,0
09:56,M2,11,0,0
09:57,M2,11,0,0
09:58,M2,11,0,0
09:59,M2,11,0,0
10:00,M2,12,1,OK
10:01,M2,11,0,0
10:02,M2,11,0,0
10:03,M2,11,0,0
10:04,M2,11,0,0
10:05,M2,11,0,0
10:06,M2,11,0,0
10:07,M2,12,0,0
10:08,M2,12,0,0
10:09,M2,11,0,0
10:10,M2,11,0,0
10:11,M2,11,1,OK
10:12,M2,11,0,0
10:13,M2,11,0,0
10:14,M2,12,0,0
10:15,M2,11,0,0
10:16,M2,11,0,0
10:17,M2,11,0,0
10:18,M2,11,0,0
10:19,M2,13,0,0
10:20,M2,11,0,0
10:21,M2,13,0,0
10:22,M2,13,1,OK
10:23,M2,12,0,0
10:24,M2,12,0,0
10:25,M2,11,0,0
10:26,M2,12,0,0
10:27,M2,11,0,0
10:28,M2,11,0,0
10:29,M2,11,0,0
10:30,M2,11,0,0
10:31,M2,11,0,0
10:32,M2,11,0,0
10:33,M2,11,1,OK
10:34,M2,11,0,0
10:35,M2,11,0,0
10:36,M2,11,0,0
10:37,M2,11,0,0
10:38,M2,11,0,0
10:39,M2,11,0,0
10:40,M2,12,0,0
10:41,M2,13,0,0
10:42,M2,11,0,0
10:43,M2,12,0,0
10:44,M2,11,1,OK
10:45,M2,11,0,0
10:46,M2,12,0,0
10:47,M2,12,0,0
10:48,M2,12,0,0
10:49,M2,13,0,0
10:50,M2,11,0,0
10:51,M2,12,0,0
10:52,M2,11,0,0
10:53,M2,13,0,0
10:54,M2,12,0,0
10:55,M2,12,1,OK
10:56,M2,12,0,0
10:57,M2,13,0,0
10:58,M2,11,0,0
10:59,M2,12,0,0
11:00,M2,12,0,0
11:01,M2,12,0,0
11:02,M2,12,0,0
11:03,M2,11,0,0
11:04,M2,11,0,0
11:05,M2,12,0,0
11:06,M2,13,1,OK
11:07,M2,11,0,0
11:08,M2,13,0,0
11:09,M2,12,0,0
11:10,M2,11,0,0
11:11,M2,11,0,0
11:12,M2,11,0,0
11:13,M2,11,0,0
11:14,M2,11,0,0
11:15,M2,11,0,0
11:16,M2,11,0,0
11:17,M2,11,1,OK
11:18,M2,11,0,0
11:19,M2,11,0,0
11:20,M2,12,0,0
11:21,M2,11,0,0
11:22,M2,11,0,0
11:23,M2,12,0,0
11:24,M2,11,0,0
11:25,M2,11,0,0
11:26,M2,11,0,0
11:27,M2,12,0,0
11:28,M2,11,1,NG
11:29,M2,12,0,0
11:30,M2,11,0,0
11:31,M2,12,0,0
11:32,M2,11,0,0
11:33,M2,11,0,0
11:34,M2,12,0,0
11:35,M2,11,0,0
11:36,M2,13,0,0
11:37,M2,11,0,0
11:38,M2,11,0,0
11:39,M2,11,1,OK
11:40,M2,11,0,0
11:41,M2,13,0,0
11:42,M2,11,0,0
11:43,M2,13,0,0
11:44,M2,11,0,0
11:45,M2,11,0,0
11:46,M2,11,0,0
11:47,M2,11,0,0
11:48,M2,12,0,0
11:49,M2,11,0,0
11:50,M2,11,1,OK
11:51,M2,11,0,0
11:52,M2,11,0,0
11:53,M2,11,0,0
11:54,M2,11,0,0
11:55,M2,11,0,0
11:56,M2,12,0,0
11:57,M2,12,0,0
11:58,M2,12,0,0
11:59,M2,11,0,0
12:00,M2,11,0,0
12:01,M2,11,1,NG
12:02,M2,11,0,0
12:03,M2,12,0,0
12:04,M2,11,0,0
12:05,M2,11,0,0
12:06,M2,12,0,0
12:07,M2,13,0,0
12:08,M2,11,0,0
12:09,M2,13,0,0
12:10,M2,11,0,0
12:11,M2,11,0,0
12:12,M2,12,1,OK
12:13,M2,12,0,0
12:14,M2,11,0,0
12:15,M2,12,0,0
12:16,M2,11,0,0
12:17,M2,11,0,0
12:18,M2,12,0,0
12:19,M2,12,0,0
12:20,M2,11,0,0
12:21,M2,11,0,0
12:22,M2,11,0,0
12:23,M2,13,1,OK
12:24,M2,11,0,0
12:25,M2,12,0,0
12:26,M2,12,0,0
12:27,M2,11,0,0
12:28,M2,11,0,0
12:29,M2,11,0,0
12:30,M2,12,0,0
12:31,M2,12,0,0
12:32,M2,11,0,0
12:33,M2,11,0,0
12:34,M2,11,1,OK
12:35,M2,11,0,0
12:36,M2,11,0,0
12:37,M2,11,0,0
12:38,M2,12,0,0
12:39,M2,11,0,0
12:40,M2,12,0,0
12:41,M2,13,0,0
12:42,M2,11,0,0
12:43,M2,11,0,0
12:44,M2,11,0,0
12:45,M2,12,1,OK
12:46,M2,11,0,0
12:47,M2,11,0,0
12:48,M2,11,0,0
12:49,M2,11,0,0
12:50,M2,12,0,0
12:51,M2,12,0,0
12:52,M2,11,0,0
12:53,M2,11,0,0
12:54,M2,11,0,0
12:55,M2,12,0,0
12:56,M2,11,1,OK
12:57,M2,12,0,0
12:58,M2,11,0,0
12:59,M2,11,0,0
13:00,M2,11,0,0
13:01,M2,11,0,0
13:02,M2,11,0,0
13:03,M2,11,0,0
13:04,M2,11,0,0
13:05,M2,12,0,0
13:06,M2,11,0,0
13:07,M2,11,1,OK
13:08,M2,12,0,0
13:09,M2,11,0,0
13:10,M2,13,0,0
13:11,M2,11,0,0
13:12,M2,11,0,0
13:13,M2,11,0,0
13:14,M2,11,0,0
13:15,M2,11,0,0
13:16,M2,12,0,0
13:17,M2,13,0,0
13:18,M2,12,1,OK
13:19,M2,13,0,0
13:20,M2,11,0,0
13:21,M2,11,0,0
13:22,M2,11,0,0
13:23,M2,12,0,0
13:24,M2,13,0,0
13:25,M2,11,0,0
13:26,M2,13,0,0
13:27,M2,12,0,0
13:28,M2,12,0,0
13:29,M2,12,1,OK
13:30,M2,11,0,0
13:31,M2,12,0,0
13:32,M2,12,0,0
13:33,M2,12,0,0
13:34,M2,11,0,0
13:35,M2,12,0,0
13:36,M2,12,0,0
13:37,M2,13,0,0
13:38,M2,11,0,0
13:39,M2,12,0,0
13:40,M2,12,1,OK
13:41,M2,12,0,0
13:42,M2,11,0,0
13:43,M2,11,0,0
13:44,M2,11,0,0
13:45,M2,11,0,0
13:46,M2,11,0,0
13:47,M2,11,0,0
13:48,M2,12,0,0
13:49,M2,11,0,0
13:50,M2,11,0,0
13:51,M2,13,1,OK
13:52,M2,11,0,0
13:53,M2,11,0,0
13:54,M2,13,0,0
13:55,M2,11,0,0
13:56,M2,12,0,0
13:57,M2,12,0,0
13:58,M2,13,0,0
13:59,M2,11,0,0
14:00,M2,11,0,0
14:01,M2,11,0,0
14:02,M2,11,1,OK
14:03,M2,12,0,0
14:04,M2,11,0,0
14:05,M2,11,0,0
14:06,M2,12,0,0
14:07,M2,11,0,0
14:08,M2,11,0,0
14:09,M2,11,0,0
14:10,M2,11,0,0
14:11,M2,11,0,0
14:12,M2,11,0,0
14:13,M2,11,1,OK
14:14,M2,11,0,0
14:15,M2,12,0,0
14:16,M2,11,0,0
14:17,M2,11,0,0
14:18,M2,11,0,0
14:19,M2,11,0,0
14:20,M2,11,0,0
14:21,M2,13,0,0
14:22,M2,11,0,0
14:23,M2,11,0,0
14:24,M2,11,1,OK
14:25,M2,11,0,0
14:26,M2,12,0,0
14:27,M2,13,0,0
14:28,M2,12,0,0
14:29,M2,11,0,0
14:30,M2,11,0,0
14:31,M2,12,0,0
14:32,M2,11,0,0
14:33,M2,12,0,0
14:34,M2,11,0,0
14:35,M2,12,1,OK
14:36,M2,12,0,0
14:37,M2,12,0,0
14:38,M2,11,0,0
14:39,M2,11,0,0
14:40,M2,11,0,0
14:41,M2,13,0,0
14:42,M2,11,0,0
14:43,M2,12,0,0
14:44,M2,11,0,0
14:45,M2,11,0,0
14:46,M2,11,1,OK
14:47,M2,12,0,0
14:48,M2,11,0,0
14:49,M2,11,0,0
14:50,M2,11,0,0
14:51,M2,11,0,0
14:52,M2,13,0,0
14:53,M2,11,0,0
14:54,M2,11,0,0
14:55,M2,11,0,0
14:56,M2,12,0,0
14:57,M2,12,1,OK
14:58,M2,11,0,0
14:59,M2,11,0,0
15:00,M2,12,0,0
15:01,M2,12,0,0
15:02,M2,13,0,0
15:03,M2,11,0,0
15:04,M2,11,0,0
15:05,M2,12,0,0
15:06,M2,11,0,0
15:07,M2,12,0,0
15:08,M2,11,1,OK
15:09,M2,12,0,0
15:10,M2,13,0,0
15:11,M2,11,0,0
15:12,M2,11,0,0
15:13,M2,13,0,0
15:14,M2,11,0,0
15:15,M2,11,0,0
15:16,M2,13,0,0
15:17,M2,12,0,0
15:18,M2,11,0,0
15:19,M2,12,1,OK
15:20,M2,12,0,0
15:21,M2,11,0,0
15:22,M2,11,0,0
15:23,M2,11,0,0
15:24,M2,12,0,0
15:25,M2,11,0,0
15:26,M2,11,0,0
15:27,M2,13,0,0
15:28,M2,12,0,0
15:29,M2,12,0,0
15:30,M2,11,1,OK
15:31,M2,11,0,0
15:32,M2,11,0,0
15:33,M2,11,0,0
15:34,M2,11,0,0
15:35,M2,12,0,0
15:36,M2,12,0,0
15:37,M2,11,0,0
15:38,M2,12,0,0
15:39,M2,11,0,0
15:40,M2,13,0,0
15:41,M2,13,1,OK
15:42,M2,11,0,0
15:43,M2,12,0,0
