	zh_tw	zh	en
i18n_ServCloud_Red	紅色	红色	red
i18n_ServCloud_Green	綠色	绿色	green
i18n_ServCloud_Blank_Lines	空白行	空白行	Blank lines
i18n_ServCloud_Time_Type	時間類型	时间类型	Time type
i18n_ServCloud_Upload_Setting	上傳設定	上传设定	Upload settings
i18n_ServCloud_Upload_Area	檔案上傳	档案上传	File upload
i18n_ServCloud_Replace_Target	更換目標	更换目标	Replacement target
i18n_ServCloud_File_Size	檔案大小	档案大小	File size
i18n_ServCloud_File_Size_Search	上傳檔案查詢	上传档案查询	Upload File Search
i18n_ServCloud_Create_Upload_Area	建立上傳區	建立上传区	Create upload area
i18n_ServCloud_Upload_Info	拖曳檔案至此或點選上傳檔案	拖曳档案至此或点选上传档案	Drop files here to upload
i18n_ServCloud_Last_Modify	最後修改時間	最后修改时间	Last Modified
i18n_ServCloud_File_Content	檔案內容	档案内容	File content
i18n_ServCloud_Preview	預覽	预览	Preview
i18n_ServCloud_Show_Demo_Data	顯示Demo資料	显示Demo资料	Show Demo Data
